Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,9.94089,11.0855,8.86586,9.31968,3170775.6079719
2003-06-30,9.48528,11.468,9.46058,10.8477,3629460.0278157
2003-07-31,10.8477,11.7543,10.2273,11.1789,3333805.4021249
2003-08-31,11.2749,11.8477,10.3197,11.8477,5492780.7109765
2003-09-30,12.1853,16.104,12.1853,12.8532,9287193.0437918
2003-10-31,12.6638,15.4791,12.6144,14.2887,7786939.4630156
2003-11-30,14.3821,14.7672,11.6143,11.9941,2809822.2838574
2003-12-31,12.0865,13.092,12.0865,12.3271,2900975.9661277
2004-01-31,12.4241,13.5211,11.6143,11.9465,5430710.6066635
2004-02-29,12.0435,13.2833,11.8477,12.7562,3460950.1487368
2004-03-31,12.9511,14.3326,12.4241,12.8038,5775320.9491473
2004-04-30,12.7562,13.0444,11.7058,11.8477,3731263.4802331
2004-05-31,11.8477,11.9465,9.19616,10.4661,4228449.4859731
2004-06-30,10.3692,10.4661,8.62624,9.31968,2937050.095179
2004-07-31,9.34437,9.46058,8.24149,8.62624,2148455.6005525
2004-08-31,8.62624,11.565,8.60171,11.3746,7259919.018061
2004-09-30,11.4177,12.2347,10.7489,11.9465,3329808.4594496
2004-10-31,11.9465,12.2347,10.3197,11.135,2551807.9941783
2004-11-30,11.468,12.566,11.2274,12.2347,2800414.1125288
2004-12-31,12.135,13.7626,12.135,13.3326,3269160.2918117
2005-01-31,13.2348,13.6199,11.8038,12.6638,2761686.2845943
2005-02-28,12.7132,14.7672,12.6144,14.48,2506110.3813271
2005-03-31,14.6684,14.6684,12.9511,14.0499,2441596.4258186
2005-04-30,14.1909,14.5276,11.0855,11.2749,2860557.3341684
2005-05-31,11.2749,12.135,10.2273,11.8477,1152627.7707396
2005-06-30,11.7543,13.092,11.3252,12.7132,1449097.7421333
2005-07-31,12.566,16.6274,12.566,15.6712,3348257.5686536
2005-08-31,15.8177,16.534,14.7672,15.9585,2463546.2753532
2005-09-30,16.007,17.5835,15.5276,15.7692,2917129.8662482
2005-10-31,15.7692,16.7244,14.4306,16.4855,2080685.7270157
2005-11-30,16.867,17.6338,16.1974,16.867,2506995.6762593
2005-12-31,16.867,19.1618,16.7738,18.633,2448419.7545366
2006-01-31,18.5405,23.8902,18.4911,20.0676,3582859.632725
2006-02-28,20.0676,22.4126,19.3996,19.3996,2366548.5535739
2006-03-31,19.4491,20.2588,17.535,18.1114,2733689.1056032
2006-04-30,18.1553,19.8288,17.7262,17.7747,2812845.4021073
2006-05-31,17.7747,22.1244,16.8177,18.063,4485581.7595902
2006-06-30,18.2048,18.8736,16.2467,17.5386,2044221.4124202
2006-07-31,17.6859,21.0887,17.3978,20.8453,1631853.2189234
2006-08-31,20.8938,20.8938,18.1755,18.2716,1675813.0306114
2006-09-30,18.5121,20.7465,18.2469,19.4381,1979303.0629303
2006-10-31,19.7272,20.1865,18.4189,19.8242,1358341.8961042
2006-11-30,20.1189,24.2964,19.8736,23.9552,2607893.067567
2006-12-31,23.9552,25.7073,22.8609,24.3944,1456624.9349703
2007-01-31,24.2727,34.0151,24.022,31.3901,4429673.7451879
2007-02-28,31.7066,31.7066,27.9664,30.4175,5134662.5165585
2007-03-31,30.5638,35.5924,28.3049,35.403,1741767.5030589
2007-04-30,35.4708,41.256,33.0443,40.0885,2207393.290945
2007-05-31,40.3566,43.8324,37.9256,43.8324,2161513.1543239
2007-06-30,44.2186,44.7062,39.3859,41.4938,2607171.7161408
2007-07-31,41.4938,44.3988,39.2,40.9568,1486909.6723478
2007-08-31,40.3227,43.4473,35.1477,39.9815,2612844.161447
2007-09-30,39.3702,39.9815,31.7314,36.1982,5705816.5533173
2007-10-31,36.6117,39.932,36.0517,38.8094,2436376.4645889
2007-11-30,38.3217,41.4453,36.8569,37.1021,3157186.8772413
2007-12-31,37.1021,38.8588,34.6601,35.8807,1523949.9751276
2008-01-31,35.8807,36.3684,29.2893,32.6582,5957292.7759788
2008-02-29,33.1715,35.8807,31.2428,34.1715,1882049.5892817
2008-03-31,33.9767,36.3684,32.2676,35.4415,4455915.6357085
