Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,26.5954,34.2326,26.5954,33.8162,898290.87587229
2003-06-30,33.8162,35.9068,32.8992,34.0262,964697.08024888
2003-07-31,33.4444,41.7485,33.4444,40.1657,1046221.5328
2003-08-31,40.4972,52.1888,40.0816,48.4313,1727690.1459082
2003-09-30,49.0542,53.2345,43.8391,43.8391,911959.48901036
2003-10-31,43.8391,52.8117,43.8391,49.6826,954544.16054131
2003-11-30,51.1439,51.5604,46.5526,47.5965,550870.0729681
2003-12-31,48.4313,59.289,46.759,56.3664,783402.91967304
2004-01-31,56.7783,60.5376,50.5165,52.6062,865358.75908543
2004-02-29,51.9778,56.3664,49.0542,51.7714,743021.16785002
2004-03-31,54.0657,54.2712,50.1,53.2345,809459.12405144
2004-04-30,52.3943,57.6176,52.3943,54.9005,493589.78099985
2004-05-31,55.1069,55.9462,50.9329,53.44,189493.79561197
2004-06-30,52.3943,60.5376,52.3943,59.9138,443804.01457872
2004-07-31,60.122,64.7124,57.1975,59.6991,722039.78098965
2004-08-31,59.6991,60.122,56.3664,58.246,229401.45984377
2004-09-30,58.4497,59.4918,56.5691,57.8268,265589.78101003
2004-10-31,57.6176,58.246,50.9329,53.8574,604564.59851314
2004-11-30,54.2712,58.0305,53.0227,55.1069,811134.30653311
2004-12-31,54.6886,56.7783,52.8117,54.6886,1241251.0948351
2005-01-31,54.6886,57.4076,51.5604,57.4076,876716.058355
2005-02-28,56.7783,63.4593,56.5691,59.6991,1423657.66417
2005-03-31,59.6991,59.6991,47.1791,49.4753,829716.78828411
2005-04-30,50.1,51.9778,42.7942,44.0446,620680.29194308
2005-05-31,44.0446,48.0139,44.0446,46.3416,326609.124073
2005-06-30,45.9233,50.3091,43.2116,50.3091,1034941.9707567
2005-07-31,50.5165,54.2712,50.5165,52.8117,711132.48172006
2005-08-31,53.0227,58.6597,52.8117,57.1975,606434.67150576
2005-09-30,57.1975,59.4918,53.0227,55.9462,867183.94156711
2005-10-31,54.2712,56.9883,51.3567,54.9005,555921.89778539
2005-11-30,55.7353,56.1526,53.0227,53.0227,869980.29193194
2005-12-31,53.6519,54.2712,48.4313,52.3943,703516.42332624
2006-01-31,52.6062,57.6176,50.5165,52.1888,1301306.9342484
2006-02-28,52.1888,53.8574,48.8478,50.7274,1143663.5035986
2006-03-31,51.5604,53.8574,46.759,53.44,1379286.1313253
2006-04-30,52.3943,58.4497,52.1888,58.4497,603827.73719931
2006-05-31,58.0305,60.7458,52.6062,54.0602,916971.89776926
2006-06-30,55.5672,58.1556,49.3218,54.2712,747335.03646297
2006-07-31,55.1388,64.8321,53.4145,63.3278,542548.90508526
2006-08-31,63.3278,71.0738,58.3647,68.0625,1010099.9999549
2006-09-30,69.7421,88.7386,67.8406,78.3978,846667.88317386
2006-10-31,78.6179,85.7227,75.814,84.6779,755110.94887138
2006-11-30,84.6523,85.6296,76.2944,82.2712,602301.45982711
2006-12-31,83.3471,88.3139,83.3471,86.1474,474458.7591029
2007-01-31,86.5721,87.7019,78.3978,86.1474,689241.24084513
2007-02-28,87.0142,87.838,72.8009,79.607,415305.1094705
2007-03-31,80.2446,83.307,73.3105,82.2712,850011.67879415
2007-04-30,82.695,92.6211,79.6865,84.0376,1415709.8539514
2007-05-31,85.2049,96.6581,84.1244,95.1967,1003521.8977654
2007-06-30,95.1602,104.312,87.0142,101.188,492491.60581742
2007-07-31,101.855,107.563,88.2883,88.6363,818695.62040139
2007-08-31,88.6792,95.6991,76.9118,94.393,767697.81018469
2007-09-30,94.393,96.3567,85.1619,85.1619,640133.21165024
2007-10-31,85.1619,87.4553,82.1763,82.5297,539348.54012189
2007-11-30,81.6502,82.0895,63.6995,70.6746,1037346.3503186
2007-12-31,70.6746,74.5837,64.97,70.2426,848610.2189402
2008-01-31,72.4374,73.6667,51.364,54.4347,1515190.5108812
2008-02-29,55.0959,57.0221,52.0216,52.6811,710414.23354491
2008-03-31,50.9238,53.1195,47.5006,52.6363,734902.5547117
2008-04-30,52.6811,59.2178,49.7831,51.1439,629034.30654125
2008-05-31,51.8024,52.1961,47.0175,47.6322,794944.16054843
2008-06-30,48.5976,50.2662,42.5385,42.5385,735998.54011311
2008-07-31,41.7055,42.7577,32.1439,37.4741,961428.83207384
2008-08-31,37.2421,38.6386,34.2628,34.4254,720567.15325249
2008-09-30,34.6345,39.5702,34.0756,36.6831,665491.97077319
2008-10-31,36.0776,37.2421,22.9219,23.2754,854038.68609324
2008-11-30,23.5329,33.9367,23.0534,33.2846,1325001.4597948
2008-12-31,32.6097,35.683,27.9306,27.9306,383804.0145814
2009-01-31,29.6075,32.121,26.0702,27.9306,563648.54012081
2009-02-28,27.6996,28.3499,26.093,27.8612,1270201.0948338
2009-03-31,27.8612,30.0249,26.8146,28.4439,865289.78098325
2009-04-30,28.6293,33.2846,27.9306,33.2618,632172.26274549
2009-05-31,32.8197,36.3105,32.585,34.0071,848497.44521757
2009-06-30,34.2628,38.1728,33.5175,37.1946,549877.00727471
2009-07-31,36.6365,42.4791,36.6365,39.6624,465525.54742446
2009-08-31,39.2441,48.1802,37.7061,47.7171,652358.75909495
2009-09-30,48.1802,48.8807,44.4574,47.9482,343522.99268539
