Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,57.359,65.552,57.277,63.831,1215273
2003-06-30,64.733,64.896,62.602,62.684,515642
2003-07-31,62.684,69.485,61.537,66.781,926150
2003-08-31,66.781,92.593,66.536,92.593,1199358
2003-09-30,96.688,103.65,81.941,84.398,1365596
2003-10-31,84.398,89.725,72.272,76.779,1382586
2003-11-30,77.024,78.991,72.108,72.517,1105238
2003-12-31,72.6,77.106,65.798,75.794,1137062
2004-01-31,75.467,83.989,71.453,76.204,734699
2004-02-29,74.975,80.138,73.747,77.844,674094
2004-03-31,79.482,86.857,76.204,86.037,875308
2004-04-30,86.037,94.232,84.398,93.822,569299
2004-05-31,94.232,96.688,81.941,84.398,794860
2004-06-30,83.579,88.086,80.547,86.037,731000
2004-07-31,85.627,86.037,80.056,82.351,546358
2004-08-31,81.694,83.579,76.532,81.121,782967
2004-09-30,80.465,87.676,79.401,87.676,660075
2004-10-31,87.266,89.315,84.808,86.447,717802
2004-11-30,88.496,97.921,88.086,93.822,681320
2004-12-31,95.055,97.921,90.544,93.412,743301
2005-01-31,93.002,97.099,83.989,87.676,895150
2005-02-28,88.496,103.65,86.037,100.79,888971
2005-03-31,102.43,110.61,96.277,104.06,1104952
2005-04-30,103.24,105.71,95.055,99.149,214099
2005-05-31,101.19,103.65,96.688,102.43,446573
2005-06-30,102.01,113.08,100.37,111.44,392877
2005-07-31,108.98,111.44,100.79,108.58,302910
2005-08-31,108.58,118.81,107.34,114.71,462544
2005-09-30,115.53,129.46,113.49,127,590695
2005-10-31,127.42,128.65,114.71,120.45,315620
2005-11-30,120.45,131.1,117.58,131.1,228288
2005-12-31,128.65,140.52,127,138.48,809774
2006-01-31,140.13,163.88,131.92,154.46,944500
2006-02-28,154.05,161.84,147.9,154.05,592019
2006-03-31,152.81,157.73,136.03,144.21,497479
2006-04-30,143.81,170.43,143.81,167.15,661255
2006-05-31,167.15,170.43,139.3,144.21,549015
2006-06-30,144.62,158.96,130.28,147.08,419255
2006-07-31,147.08,177.8,145.44,176.17,452044
2006-08-31,176.17,199.93,165.94,193.38,1695346
2006-09-30,191.75,202.4,185.19,197.48,583744
2006-10-31,197.48,241.72,194.36,237.62,522469
2006-11-30,237.62,270.41,231.96,261.23,539151
2006-12-31,266.14,302.36,262.21,275.31,572006
2007-01-31,276.14,348.25,263.11,327.76,954537
2007-02-28,330.22,364.63,310.96,328.26,604992
2007-03-31,335.63,403.97,320.38,392.49,435290
2007-04-30,392.49,424.45,376.92,417.89,579776
2007-05-31,419.54,429.78,383.24,417.89,461735
2007-06-30,426.09,455.59,417.89,446.56,535043
2007-07-31,448.21,450.67,405.6,418.72,904496
2007-08-31,413.8,417.89,374.06,409.7,882320
2007-09-30,412.98,450.67,394.94,418.72,838678
2007-10-31,421.99,503.52,412.98,468.7,559179
2007-11-30,462.96,462.96,389.29,405.6,766442
2007-12-31,405.77,437.97,378.31,413.8,658774
2008-01-31,412.16,414.62,283.92,301.54,1402029
2008-02-29,308.1,376.1,302.36,340.05,845759
2008-03-31,329.56,332.27,267.21,296.38,1736116
2008-04-30,297.85,327.76,275.4,294.99,1399179
2008-05-31,307.19,341.69,299.09,335.95,1381495
2008-06-30,335.13,344.15,279.5,290.06,648123
2008-07-31,290.89,331.78,272.86,318.18,885227
2008-08-31,317.84,327.76,280.73,290.89,484750
2008-09-30,288.43,311.78,238.45,254.84,938889
2008-10-31,256.47,270.41,113.57,150.77,3259583
2008-11-30,154.05,178.62,136.43,171.25,1671604
2008-12-31,159.87,191.33,156.59,161.02,889597
2009-01-31,165.12,178.62,104.23,112.26,1390117
2009-02-28,110.37,113.89,71.287,77.925,1763809
2009-03-31,77.393,105.95,75.221,86.037,1670484
2009-04-30,87.676,123.57,81.612,123.57,2277126
2009-05-31,128.08,138.23,117.58,120.45,1317772
2009-06-30,122.91,159.78,122.91,140.13,1224298
2009-07-31,140.04,159.78,119.22,158.15,1684971
2009-08-31,157.33,237.62,155.68,204.85,1857857
2009-09-30,208.13,221.24,181.9,196.74,1381914
2009-10-31,203.13,240.5,200.75,223.29,905756
2009-11-30,222.55,225.09,181.9,188.47,1723203
2009-12-31,188.47,214.6,188.47,213.04,1279968
2010-01-31,212.96,242.55,209.77,211.74,1272243
2010-02-28,211.4,213.04,180.34,189.45,1244401
2010-03-31,187.65,219.6,180.34,212.97,1276163
2010-04-30,213.37,241.72,213.04,231.07,1253640
2010-05-31,233.12,237.17,198.65,237.17,1821398
