Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,5.7288,6.42227,5.65886,6.01813,93660838.76953
2003-06-30,6.01813,6.30755,5.88342,6.12787,70049545.310611
2003-07-31,6.10788,6.82154,5.92829,6.62195,116094271.94654
2003-08-31,6.57717,7.73975,6.3974,7.45023,119256681.78539
2003-09-30,7.55998,7.60504,6.063,6.12787,119385694.04127
2003-10-31,6.12787,7.20587,6.083,6.30755,99249908.353988
2003-11-30,6.3974,6.53221,5.92829,6.26268,88395804.877161
2003-12-31,6.30755,6.93635,6.19781,6.77666,90482527.633964
2004-01-31,6.80163,7.47023,6.77666,7.11594,91652718.419667
2004-02-29,7.13593,7.65001,7.04609,7.38556,76752667.226128
2004-03-31,7.4953,7.67488,6.95644,7.00122,96423766.938701
2004-04-30,7.02619,7.5152,6.91138,7.29562,98073168.49998
2004-05-31,7.29562,7.40536,6.42227,6.57717,98011784.310604
2004-06-30,6.55708,6.91138,6.44246,6.84651,73838814.701335
2004-07-31,6.82154,6.91138,6.48714,6.51221,49679627.818484
2004-08-31,6.51221,6.71179,6.15294,6.46724,69675542.923906
2004-09-30,6.46724,6.93635,6.42227,6.80163,80569237.640343
2004-10-31,6.77666,7.38556,6.73179,7.34059,86885305.020257
2004-11-30,7.42536,7.96412,7.29562,7.67488,108687286.14522
2004-12-31,7.67488,8.88262,7.65001,8.85708,122191699.10961
2005-01-31,8.85708,8.94749,8.05444,8.72734,90154410.532405
2005-02-28,8.74839,10.515,8.65797,10.1992,139761093.47774
2005-03-31,10.1552,10.2901,8.65797,9.53142,133185342.89291
2005-04-30,9.53142,9.71129,8.05444,8.16361,92976894.879387
2005-05-31,8.18906,8.65797,7.98966,8.4339,106733596.43359
2005-06-30,8.34339,9.3525,8.34339,9.26256,97145153.188078
2005-07-31,9.17262,10.2901,9.03695,10.2442,112353261.43402
2005-08-31,10.2442,10.6489,9.71129,10.071,79610398.01908
2005-09-30,10.1992,12.0372,10.071,11.3675,130387384.62905
2005-10-31,11.4536,11.7655,9.53142,10.6489,160793751.3891
2005-11-30,10.9637,11.2785,10.3801,10.7389,100035106.73492
2005-12-31,10.7389,10.8728,10.2442,10.47,88055035.928837
2006-01-31,10.47,11.5426,10.2442,10.3351,119647631.68927
2006-02-28,10.3351,10.6949,9.89116,9.93613,98630891.797421
2006-03-31,10.1103,10.3351,9.21664,9.89116,120885887.42474
2006-04-30,9.93613,10.6489,9.57543,10.071,113484224.70111
2006-05-31,10.1103,10.2442,8.47265,9.01236,148376619.63614
