Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,41.1699,44.3923,39.8689,44.3923,6237197.0014193
2003-06-30,44.3461,48.6325,44.3007,48.6325,6552683.0536911
2003-07-31,47.7639,54.6506,47.187,51.7586,9592961.8570136
2003-08-31,51.2818,61.389,48.6325,60.9122,10207709.945051
2003-09-30,61.389,64.5198,51.7586,54.1681,11381120.041345
2003-10-31,54.6506,62.5966,54.1681,55.3719,6795399.3398001
2003-11-30,55.8534,57.0553,47.6695,50.0742,9590709.0509613
2003-12-31,50.5567,54.6506,50.0742,52.0022,7181836.6025263
2004-01-31,52.4847,64.28,52.2411,55.6155,8771667.3590711
2004-02-29,55.6155,61.8696,54.4079,60.1862,7410279.8212349
2004-03-31,61.1501,63.0809,58.0203,62.5966,8283053.1087238
2004-04-30,62.5966,69.8147,59.4658,60.1862,7450950.0138074
2004-05-31,60.1862,62.116,53.4468,59.7046,7971766.5750215
2004-06-30,59.2222,60.9122,56.8174,59.4658,7594647.6891867
2004-07-31,59.2222,60.1862,53.6875,54.6506,5454014.8556091
2004-08-31,54.6506,57.2989,52.0022,56.3359,3764496.1073166
2004-09-30,56.097,62.116,54.6506,57.7814,8811081.4030879
2004-10-31,57.2989,63.0809,54.4079,62.116,10489363.658946
2004-11-30,62.5966,66.4478,58.5018,60.9122,9205715.4058417
2004-12-31,60.9122,67.4127,59.9473,66.4478,5471065.0069159
2005-01-31,66.4478,68.8488,61.1501,64.28,5898894.8005916
2005-02-28,64.28,72.7076,64.0393,70.7853,8750472.7648482
2005-03-31,70.2981,70.7853,63.0809,67.1672,9853442.1596289
2005-04-30,67.4127,68.6099,61.8696,62.5966,5392449.8074656
2005-05-31,62.5966,66.2014,59.4658,65.9634,7731422.7785962
2005-06-30,65.4838,73.1844,64.7644,69.335,12371665.199537
2005-07-31,69.0952,73.4317,66.2014,73.1844,9087233.9065287
2005-08-31,72.4668,83.2972,71.9815,78.2365,8942897.5653997
2005-09-30,78.7237,92.2129,78.7237,86.6726,10872359.752483
2005-10-31,87.3958,89.557,73.6649,75.5967,7783898.2256392
2005-11-30,78.2365,86.1901,78.2365,84.9806,6872159.9725379
2005-12-31,84.7474,89.557,83.0564,84.0261,4865781.4580809
2006-01-31,84.0261,91.4802,82.8166,84.5076,7440356.4237111
2006-02-28,83.538,94.3684,78.7237,90.5304,8226589.9725474
2006-03-31,90.7617,93.6518,85.4697,91.9561,7439289.8625006
2006-04-30,91.7181,105.689,90.0385,99.1836,6050121.9532749
2006-05-31,97.2669,104.235,84.0261,87.0342,9704815.213273
2006-06-30,88.7733,97.5313,77.2716,95.0482,9693804.3191877
2006-07-31,94.0379,107.539,91.2782,106.284,6430906.5475004
2006-08-31,106.529,106.529,92.5244,98.0411,6003675.1719816
2006-09-30,98.5227,106.029,96.5305,97.5879,5747286.3549234
2006-10-31,99.0325,114.035,97.3802,102.28,6951136.3411767
2006-11-30,101.044,107.785,99.9295,105.783,9201809.2710411
2006-12-31,107.539,121.041,106.284,113.488,6699636.5475023
2007-01-31,114.035,127.537,107.539,125.053,9606067.7442214
