Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,11.775,12.4639,11.4477,11.9735,26297510.464149
2003-06-30,12.0069,12.567,11.775,12.4305,21319792.997803
2003-07-31,12.3685,15.0241,12.3027,14.6977,40161916.594487
2003-08-31,14.6281,16.4048,14.172,16.2063,40787810.751869
2003-09-30,16.4048,16.7922,14.8953,15.5508,36953504.268233
2003-10-31,15.6109,17.714,15.4191,16.8619,33934627.300902
2003-11-30,16.9287,17.3867,15.0241,15.2836,22846053.730989
2003-12-31,15.4821,16.6625,15.2836,16.4048,21277515.201259
2004-01-31,16.4659,17.9125,16.4048,17.318,25194306.460325
2004-02-29,17.4554,18.8963,17.0585,18.6968,20603924.118734
2004-03-31,19.0241,19.4211,18.0422,18.6968,23092616.222348
2004-04-30,18.6339,20.6024,18.5003,18.8963,19211528.752149
2004-05-31,18.8963,19.6806,17.6453,18.569,20615800.928715
2004-06-30,18.5003,19.5509,18.0422,19.5509,18302098.157152
2004-07-31,19.5509,20.6644,18.8963,19.5509,25364532.702165
2004-08-31,19.5509,21.3247,19.3524,21.1883,26057026.28373
2004-09-30,21.1282,22.8954,20.8619,22.507,18833252.406665
2004-10-31,22.3686,24.8677,22.2408,24.0147,29789876.325908
2004-11-30,24.0767,25.3248,22.6969,24.5404,53695286.383179
2004-12-31,24.5404,26.2399,23.8801,24.8009,34841846.648299
2005-01-31,24.8677,25.258,22.1101,24.9288,41610777.373739
2005-02-28,25.0586,32.0157,24.9288,30.5071,44804997.891932
2005-03-31,30.3754,32.8077,28.0147,29.9193,43397618.440894
2005-04-30,30.1789,32.5406,29.4556,29.9804,25260965.619633
2005-05-31,30.1789,30.7714,27.2304,30.3087,31049074.940095
2005-06-30,30.1169,33.4633,29.6541,33.0663,28207081.013069
2005-07-31,32.9356,37.2725,32.8678,36.9309,27293642.924789
2005-08-31,36.7257,38.9099,35.7009,38.3651,26683781.88449
2005-09-30,38.5693,46.2135,38.5693,45.6009,48965368.030073
2005-10-31,45.6009,47.7154,38.0235,40.0712,41178356.901576
2005-11-30,40.9577,42.1867,38.4319,40.9577,28956672.990027
2005-12-31,41.0245,43.4835,40.8212,42.8012,26042573.527492
2006-01-31,42.5283,47.9205,42.3918,43.5512,40693668.195248
2006-02-28,43.2783,44.576,39.9319,39.9319,27078424.606174
2006-03-31,40.617,41.9128,36.8612,40.2077,39750211.6348
2006-04-30,39.5912,46.077,39.5912,43.6896,34920746.26826
2006-05-31,43.6896,44.3699,34.1322,36.7257,45682457.619368
2006-06-30,37.2725,38.3651,29.8296,36.179,53949184.767053
2006-07-31,36.5196,42.2563,35.9061,41.367,32071323.178086
2006-08-31,41.0245,41.367,34.3364,35.0873,37126692.11468
2006-09-30,35.1551,36.5196,32.2944,33.448,39064485.938072
2006-10-31,33.5854,35.7009,31.7896,32.7657,41505163.577195
2006-11-30,32.4451,35.6675,31.6264,35.3603,47243121.592476
2006-12-31,35.5998,36.3851,32.0835,32.5606,27837167.585051
2007-01-31,32.7657,34.4728,31.2638,32.0558,43268904.966808
2007-02-28,32.2896,33.1408,29.2838,29.8649,26633521.588905
2007-03-31,29.947,33.2028,27.7895,32.7657,50869751.055001
2007-04-30,32.5606,34.9509,30.718,31.1903,38534098.813318
2007-05-31,31.2304,33.927,31.0596,33.4413,29370423.615741
2007-06-30,33.7209,39.2506,33.3192,37.5454,44294482.652015
2007-07-31,37.408,41.7773,36.6914,37.6485,57920770.951262
2007-08-31,36.8612,40.513,34.2667,39.1838,39611730.943823
2007-09-30,39.1494,40.4119,36.657,37.8861,23782531.761687
2007-10-31,38.159,40.1723,36.5883,39.3193,35181132.72507
2007-11-30,38.4319,39.1151,33.1074,35.8393,32818517.366176
2007-12-31,35.0196,38.2277,33.448,35.428,25588111.842278
2008-01-31,35.3603,36.3154,27.0319,27.4689,60837995.504007
2008-02-29,27.989,29.593,26.5204,27.237,57481499.803475
2008-03-31,26.8277,27.4412,24.029,26.9966,39912158.797945
2008-04-30,26.8277,29.489,26.8277,28.6569,34953952.709718
2008-05-31,29.0042,29.8649,27.3735,27.3735,28522844.026501
2008-06-30,27.5777,28.3964,22.9383,23.3009,38538194.337311
2008-07-31,23.3334,26.4489,22.0013,26.321,33994406.441017
2008-08-31,25.8926,26.0844,23.5309,23.6463,22622433.719476
2008-09-30,23.5309,24.7542,21.3849,24.6034,43828454.360275
2008-10-31,24.3172,25.0338,15.0193,20.0261,70824161.538426
2008-11-30,20.0261,21.2436,16.5231,18.6673,41075958.321923
2008-12-31,18.381,19.7398,17.5308,18.4039,29944648.986175
2009-01-31,18.9526,20.0261,15.2483,16.0203,29295456.034168
2009-02-28,15.9859,16.6653,13.088,14.734,43853555.688489
2009-03-31,14.4477,18.9602,14.1691,17.0222,61963593.891709
2009-04-30,17.172,21.0623,16.7436,19.0117,60151945.980024
2009-05-31,19.2331,21.944,18.2379,20.7408,43843884.886186
2009-06-30,21.4574,23.4517,17.9898,18.8676,63097299.488623
2009-07-31,18.9478,21.0051,17.1873,20.3409,45689434.053149
2009-08-31,20.3839,22.1081,18.7884,20.8848,47699113.335272
2009-09-30,21.1721,22.8295,19.2961,21.278,43466930.049339
2009-10-31,21.4574,23.3887,20.4841,21.8143,46438910.751795
2009-11-30,21.7427,22.965,20.6119,22.2446,34816940.245229
2009-12-31,22.3868,24.675,22.0299,24.2818,40582504.272025
2010-01-31,24.6034,26.7065,23.4593,24.1387,33982688.924702
2010-02-28,24.0967,24.9765,22.0996,23.4154,30971635.162745
2010-03-31,23.4593,28.5653,23.0309,27.7523,46328581.02435
2010-04-30,27.9651,28.2523,26.2132,27.9727,39804400.824818
2010-05-31,28.2523,28.3229,25.4555,27.5357,41223355.266259
2010-06-30,27.3143,28.1101,25.1044,25.3773,31081147.462168
2010-07-31,25.1826,28.7533,25.0757,27.9298,23375451.558237
2010-08-31,27.9651,30.2104,26.6483,27.8134,29525938.249136
2010-09-30,27.6073,29.989,27.4584,28.6092,24510856.986246
2010-10-31,28.5863,29.7123,27.7523,28.759,40621780.640547
2010-11-30,28.9661,33.2581,28.9031,30.8984,49156952.198977
2010-12-31,31.3268,35.4395,31.3268,32.7572,31501870.329725
2011-01-31,32.9728,35.2973,31.5415,34.115,34228940.164622
2011-02-28,34.2953,34.532,31.0119,32.615,28872331.185805
2011-03-31,32.5654,39.0511,32.0501,37.6561,50473470.333317
2011-04-30,37.908,42.0913,37.908,39.5521,28482797.389265
2011-05-31,39.7668,39.7668,35.9404,38.6227,31823798.636822
2011-06-30,38.7658,38.8737,36.1904,37.0129,24694839.074535
2011-07-31,37.1914,37.9796,31.8984,33.4576,50854119.316037
2011-08-31,33.9022,33.9738,22.3944,28.3172,60841121.642203
2011-09-30,28.1101,28.2523,21.6931,26.0987,46861784.083844
2011-10-31,25.6769,29.1235,23.2456,28.2161,34864676.993788
2011-11-30,27.9651,29.8115,25.0548,28.7447,32657182.226063
2011-12-31,28.7533,29.5329,23.6024,24.2456,26019322.940161
2012-01-31,24.2389,27.1779,23.6597,26.2618,36500589.408355
2012-02-29,26.592,28.3229,25.0614,25.4059,27491644.951658
2012-03-31,25.0481,28.2304,24.675,26.7132,39414602.936148
2012-04-30,26.9651,27.7161,25.7466,26.3134,28826037.512101
2012-05-31,26.4574,26.4574,23.1816,23.7818,34396082.187653
2012-06-30,23.9584,27.0367,22.487,26.7571,33169991.504367
2012-07-31,26.321,28.1731,25.0042,25.6053,27093466.329782
2012-08-31,25.8926,28.5796,25.7466,27.9298,34929443.492828
2012-09-30,28.1798,33.1007,28.0014,32.5425,40858726.824805
2012-10-31,32.4862,33.115,29.4833,31.3268,46233131.630877
2012-11-30,31.5339,34.1599,29.2037,32.6856,28106162.187734
2012-12-31,32.5425,38.4071,32.115,35.4041,22877637.892217
2013-01-31,36.2629,37.8355,34.1885,35.0463,26409156.460309
2013-02-28,35.3316,40.0521,33.9375,38.3717,25412307.178172
2013-03-31,38.6571,41.054,35.7973,36.7629,25718127.961278
2013-04-30,36.9757,37.1551,33.4795,35.0492,33183037.865211
2013-05-31,35.2171,39.1122,33.6169,37.909,25638989.400818
2013-06-30,37.3431,38.9099,30.2543,33.3306,34038945.788425
2013-07-31,33.4728,35.6914,30.8373,32.1073,31080122.533185
2013-08-31,32.698,34.6952,31.8573,33.2448,19999079.78093
2013-09-30,33.4003,33.7333,29.8535,32.6245,26018458.352829
2013-10-31,32.5138,34.5167,31.5167,32.1446,22910794.030412
2013-11-30,32.8459,35.4251,31.7743,35.3956,18754338.114919
2013-12-31,35.0921,35.6914,29.573,30.2972,23207681.792405
2014-01-31,30.7772,32.0768,27.7103,28.6645,33348415.0821
2014-02-28,28.738,32.6026,28.0061,32.2915,24317218.767438
2014-03-31,31.2276,31.9661,29.196,31.9375,20526560.844263
2014-04-30,31.9375,34.2114,31.1178,33.4747,17610395.803994
2014-05-31,33.3268,33.8297,31.1684,31.1684,14817696.978694
2014-06-30,31.2505,32.2648,30.718,31.3468,16964756.567918
2014-07-31,31.3468,33.1512,28.2886,28.2886,24271629.339416
2014-08-31,28.2886,31.4318,27.6464,30.1464,22479530.533297
2014-09-30,30.1464,33.4347,30.1464,31.5377,20241069.915284
2014-10-31,31.6226,32.7991,30.5062,32.0577,21488770.041947
2014-11-30,31.9194,35.2238,31.9194,34.5349,21822878.026588
2014-12-31,34.4051,38.0215,34.3975,37.4013,25512989.158977
2015-01-31,37.4013,42.6934,36.2019,41.9367,26440046.855702
2015-02-28,41.7525,43.3508,40.3012,41.7525,28898616.736668
2015-03-31,41.8126,45.5598,40.0998,45.3003,33424965.120487
2015-04-30,44.8022,53.5953,44.8022,52.3576,34134916.030266
2015-05-31,52.6783,56.3405,49.412,54.017,30309128.613809
2015-06-30,54.017,58.1001,51.7603,57.8339,28539759.546654
2015-07-31,57.8339,62.3139,54.8892,59.643,43086151.116522
2015-08-31,59.0963,67.2729,55.6249,57.8339,46427839.842007
2015-09-30,57.1373,58.2413,50.7612,51.8576,40212114.010993
2015-10-31,52.0924,53.6821,48.1123,49.1696,40936606.755706
2015-11-30,49.1792,54.9674,48.9578,53.2117,35491655.815277
2015-12-31,53.6201,54.7479,48.724,53.1496,28948451.550487
2016-01-31,51.7021,52.8138,47.1181,48.7631,28895557.66949
