Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-31,41.2346,43.4618,40.1219,43.4618,1432532.5471894
2003-06-30,44.5081,47.9796,44.228,46.6621,1370354.5086666
2003-07-31,46.2444,53.8942,46.0375,50.7592,1871595.4284847
2003-08-31,50.6276,58.411,49.3694,58.0646,1036787.9048884
2003-09-30,59.1772,65.2967,51.1136,52.2906,1691026.662759
2003-10-31,53.2696,61.8152,51.664,56.3283,1673457.9245512
2003-11-30,56.0492,58.0646,49.6486,50.0693,746603.18397249
2003-12-31,51.1136,56.2551,50.4138,52.643,1028311.1478128
2004-01-31,52.2233,58.3447,52.2233,55.6295,2795425.5700068
2004-02-29,55.0781,62.2359,55.0781,57.926,2713898.7854145
2004-03-31,59.8008,61.544,57.7844,59.8008,1861449.7877613
2004-04-30,59.1099,64.186,59.1099,62.5814,1886944.7130762
2004-05-31,62.9348,63.0734,54.2387,60.1542,1035724.1430959
2004-06-30,59.2485,60.8471,55.4236,60.3611,887376.34828259
2004-07-31,59.2485,59.8008,54.2387,55.6295,518851.07705113
2004-08-31,55.6295,56.4689,51.5254,56.3283,1104552.4607069
2004-09-30,55.6295,58.4843,55.6295,57.5053,560714.59906428
2004-10-31,56.8144,60.1542,55.2107,59.4563,1132618.3962419
2004-11-30,59.4563,63.2813,58.5516,60.7066,3432473.4119967
2004-12-31,60.8471,69.1879,60.8471,67.4506,1538536.9654299
2005-01-31,67.1725,68.2158,62.7942,65.2313,1614344.89389
2005-02-28,65.2313,74.0601,64.3909,72.3209,1720497.814489
2005-03-31,72.3209,73.7126,65.9203,69.5413,2307558.9544341
2005-04-30,69.5413,70.9311,61.2649,63.4862,1024190.4599197
2005-05-31,63.4862,65.3699,62.5814,63.9791,981869.30818956
2005-06-30,63.8386,75.1034,63.4862,73.7126,2080716.045626
2005-07-31,74.0601,81.3635,71.623,79.9737,1439307.083353
2005-08-31,81.7079,83.4442,72.3209,75.1034,1884126.1989252
2005-09-30,76.1468,86.9187,75.7944,86.2258,2157414.9882371
2005-10-31,86.2258,87.274,75.4479,77.5376,1529535.904109
2005-11-30,78.5819,88.3223,78.5819,88.3223,1129740.2791035
2005-12-31,89.0073,105.007,87.967,98.4073,1363757.7712451
2006-01-31,97.353,111.263,95.9761,104.304,1870426.6037992
2006-02-28,105.353,123.072,102.908,114.044,1074534.7798889
2006-03-31,115.44,120.637,98.7508,102.908,2036801.7767575
2006-04-30,102.908,137.297,101.522,134.05,3736193.0621581
2006-05-31,135.485,150.264,117.113,127.2,2319748.270472
2006-06-30,127.556,138.376,111.352,129.002,1878097.2052144
2006-07-31,130.437,150.631,125.398,147.75,1160657.0558335
2006-08-31,151.333,154.224,131.179,136.554,1552016.3325684
2006-09-30,136.554,144.86,134.198,138.732,949507.91667967
2006-10-31,140.534,168.646,138.732,148.819,1324068.2429427
2006-11-30,149.185,156.372,141.256,155.303,2882319.6541275
2006-12-31,155.679,175.12,155.679,162.153,1381188.1092957
2007-01-31,162.875,192.77,153.501,192.77,2446246.0141844
2007-02-28,195.957,196.017,161.579,162.875,1625669.4615002
2007-03-31,164.311,198.056,157.104,194.641,2259495.7115089
2007-04-30,194.512,224.367,192.136,224.367,1837200.4638616
2007-05-31,225.773,234.682,196.72,224.367,1334351.2736032
2007-06-30,224.367,231.742,201.639,213.33,1087434.2806753
2007-07-31,212.023,222.892,194.057,206.717,1910078.753957
2007-08-31,200.847,205.975,170.973,186.336,2967370.0865187
2007-09-30,187.523,207.093,177.357,186.128,1477486.3325674
2007-10-31,186.128,210.4,183.91,204.371,2583771.3207901
2007-11-30,201.491,201.57,171.784,172.873,2023907.3270717
2007-12-31,177.951,194.215,171.477,184.653,1792629.5519113
2008-01-31,185.098,187.811,122.854,136.832,3195593.9662387
2008-02-29,136.832,142.721,125.21,127.249,2885342.2327439
2008-03-31,123.221,136.099,111.164,135.733,2242501.7885527
2008-04-30,134.614,139.049,112.193,121.775,2354294.768114
2008-05-31,124.31,136.901,121.627,122.894,1677831.1674758
2008-06-30,123.112,128.15,99.8891,102.215,2022962.7712541
2008-07-31,102.661,126.636,96.0038,121.924,2400018.3412278
2008-08-31,123.033,131.892,120.112,131.575,2505785.3577387
2008-09-30,130.021,137.059,108.511,114.282,2303329.1627674
2008-10-31,115.48,120.508,67.4437,90.6822,4956190.4481811
2008-11-30,91.491,93.6677,67.5189,79.4322,4558834.5047794
2008-12-31,79.4322,84.4519,71.6398,83.0304,3685568.911214
2009-01-31,86.1832,88.4263,59.388,65.945,2362451.2854097
2009-02-28,65.1957,69.6908,45.7118,52.8301,3977088.1329161
2009-03-31,49.4595,61.8222,48.5221,51.0691,4099995.5543014
2009-04-30,52.0797,67.4437,48.9715,66.5439,5957144.8349873
2009-05-31,68.2673,74.0373,61.2223,61.8994,3437255.7940722
2009-06-30,63.7712,73.4384,62.1983,67.4437,2699579.9253514
2009-07-31,67.4437,97.3352,62.0102,96.6651,4390406.5645255
